Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition
orbital,Adj,2.84,7.0,0-1-1,réel_basse_long_complexe
tortues,N,3.55,7.0,0-1-1,réel_basse_long_complexe
spatial,adj,3.79,7.0,0-1-1,réel_basse_long_complexe
rocheux,adj,3.21,7.0,0-1-1,réel_basse_long_complexe
cerveaux,N,3.61,8.0,0-1-1,réel_basse_long_complexe
bouchons,N,3.73,8.0,0-1-1,réel_basse_long_complexe
berceau,N,3.78,8.0,0-1-1,réel_basse_long_complexe
canetons,N,2.23,8.0,0-1-1,réel_basse_long_complexe
chevalet,N,2.98,8.0,0-1-1,réel_basse_long_complexe
passoire,N,2.99,8.0,0-1-1,réel_basse_long_complexe
sucettes,N,2.79,8.0,0-1-1,réel_basse_long_complexe
immobile,adj,3.53,8.0,1-1-0,réel_basse_long_complexe
instable,adj,3.71,8.0,1-1-0,réel_basse_long_complexe
infidèle,adj,3.43,8.0,1-1-0,réel_basse_long_complexe
désordre,N,3.83,8.0,1-1-0,réel_basse_long_complexe
recourir,V,3.8,8.0,1-1-0,réel_basse_long_complexe
déplaire,V,3.28,8.0,1-1-0,réel_basse_long_complexe
surpasse,V,3.24,8.0,1-1-0,réel_basse_long_complexe
envoient,V,3.87,8.0,0-1-1,réel_basse_long_complexe
allumette,N,2.84,9.0,0-1-1,réel_basse_long_complexe
tournevis,N,3.18,9.0,1-1-0,réel_basse_long_complexe
parapluie,N,3.52,9.0,1-1-0,réel_basse_long_complexe
bracelets,N,3.6,9.0,0-1-1,réel_basse_long_complexe
baguettes,N,3.41,9.0,0-1-1,réel_basse_long_complexe
tournesol,N,3.25,9.0,1-1-0,réel_basse_long_complexe
disquette,N,2.98,9.0,0-1-1,réel_basse_long_complexe
désespoir,N,3.89,9.0,1-1-0,réel_basse_long_complexe
indiscret,adj,3.11,9.0,1-1-0,réel_basse_long_complexe
réconfort,N,3.52,9.0,1-1-0,réel_basse_long_complexe
recouvert,V,3.74,9.0,1-1-0,réel_basse_long_complexe
désaccord,N,3.88,9.0,1-1-0,réel_basse_long_complexe
incorrect,Adj,3.13,9.0,1-1-0,réel_basse_long_complexe
décompose,V,3.25,9.0,1-1-0,réel_basse_long_complexe
infortune,N,2.86,9.0,1-1-0,réel_basse_long_complexe
lait,N,4.61,4.0,0-1-0,réel_haute_court_simple
pont,N,4.76,4.0,0-1-0,réel_haute_court_simple
nuit,N,5.38,4.0,0-1-0,réel_haute_court_simple
bain,N,4.55,4.0,0-1-0,réel_haute_court_simple
café,N,4.76,4.0,0-1-0,réel_haute_court_simple
banc,N,4.22,4.0,0-1-0,réel_haute_court_simple
vent,N,4.8,4.0,0-1-0,réel_haute_court_simple
miel,N,4.15,4.0,0-1-0,réel_haute_court_simple
lave,N,4.07,4.0,0-1-0,réel_haute_court_simple
loup,N,4.36,4.0,0-1-0,réel_haute_court_simple
clef,N,4.06,4.0,0-1-0,réel_haute_court_simple
épée,N,4.2,4.0,0-1-0,réel_haute_court_simple
robe,N,4.59,4.0,0-1-0,réel_haute_court_simple
four,N,4.26,4.0,0-1-0,réel_haute_court_simple
moto,N,4.31,4.0,0-1-0,réel_haute_court_simple
piano,N,4.26,5.0,0-1-0,réel_haute_court_simple
radio,N,4.92,5.0,0-1-0,réel_haute_court_simple
poule,N,4.21,5.0,0-1-0,réel_haute_court_simple
lampe,N,4.04,5.0,0-1-0,réel_haute_court_simple
coeur,N,4.99,5.0,0-1-0,réel_haute_court_simple
règle,N,4.72,5.0,0-1-0,réel_haute_court_simple
glace,N,4.63,5.0,0-1-0,réel_haute_court_simple
voici,adv,99.06323185,5.0,0-1-0,réel_haute_court_simple
voilà,adv,98.82903981,5.0,0-1-0,réel_haute_court_simple
sinon,conjunction/adv,79.62529274,5.0,0-1-0,réel_haute_court_simple
ainsi,adv,78.92271663,5.0,0-1-0,réel_haute_court_simple
grâce,N/preposition,70.72599532,5.0,0-1-0,réel_haute_court_simple
local,Adj/N,4.66,5.0,0-1-0,réel_haute_court_simple
aussi,Adv/conjunction,6.19,5.0,0-1-0,réel_haute_court_simple
avant,prep/adv,5.92,5.0,0-1-0,réel_haute_court_simple
camion,N,4.27,6.0,0-1-0,réel_haute_court_simple
salade,N,4.05,6.0,0-1-0,réel_haute_court_simple
soleil,N,5.03,6.0,0-1-0,réel_haute_court_simple
maison,N,5.53,6.0,0-1-0,réel_haute_court_simple
cloche,N,4.0,6.0,0-1-0,réel_haute_court_simple
langue,N,5.12,6.0,0-1-0,réel_haute_court_simple
oiseau,N,4.31,6.0,0-1-0,réel_haute_court_simple
bateau,N,4.61,6.0,0-1-0,réel_haute_court_simple
volant,N,4.31,6.0,0-1-0,réel_haute_court_simple
casque,N,4.26,6.0,0-1-0,réel_haute_court_simple
jamais,adv,90.39812646,6.0,0-1-0,réel_haute_court_simple
gloire,N,87.35362998,6.0,0-1-0,réel_haute_court_simple
pilule,N,82.20140515,6.0,0-1-0,réel_haute_court_simple
alerte,N/Adj,77.75175644,6.0,0-1-0,réel_haute_court_simple
sombre,Adj ,70.96018735,6.0,0-1-0,réel_haute_court_simple
yeux,N,5.31,4.0,0-1-1,réel_haute_court_complexe
rois,N,4.25,4.0,0-1-1,réel_haute_court_complexe
pris,V,5.44,4.0,0-1-1,réel_haute_court_complexe
venu,V,4.81,4.0,0-1-1,réel_haute_court_complexe
dors,V,4.09,4.0,0-1-1,réel_haute_court_complexe
vécu,V,4.67,4.0,0-1-1,réel_haute_court_complexe
rêvé,V,4.01,4.0,0-1-1,réel_haute_court_complexe
