Numéro,Mot,Cat.Gram,Fréquence,numbre de lettres,structure morpho,Condition,Nombre de lettres,orthographic neighborhood,Unnamed: 4,Numéro.1,Mot.1,Nombre de lettres.1,orthographic neighborhood.1
11,recouvert,V,3.74,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
12,désaccord,N,3.88,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
13,incorrect,Adj,3.13,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
14,décompose,V,3.25,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
15,infortune,N,2.86,9.0,1-1-0,réel_basse_long_complexe,,,,,,,
1,lait,N,4.61,4.0,0-1-0,réel_haute_court_simple,,,,,,,
2,pont,N,4.76,4.0,0-1-0,réel_haute_court_simple,,,,,,,
3,nuit,N,5.38,4.0,0-1-0,réel_haute_court_simple,,,,,,,
4,bain,N,4.55,4.0,0-1-0,réel_haute_court_simple,,,,,,,
5,café,N,4.76,4.0,0-1-0,réel_haute_court_simple,,,,,,,
6,banc,N,4.22,4.0,0-1-0,réel_haute_court_simple,,,,,,,
7,vent,N,4.8,4.0,0-1-0,réel_haute_court_simple,,,,,,,
8,miel,N,4.15,4.0,0-1-0,réel_haute_court_simple,,,,,,,
9,lave,N,4.07,4.0,0-1-0,réel_haute_court_simple,,,,,,,
10,loup,N,4.36,4.0,0-1-0,réel_haute_court_simple,,,,,,,
11,clef,N,4.06,4.0,0-1-0,réel_haute_court_simple,,,,,,,
12,épée,N,4.2,4.0,0-1-0,réel_haute_court_simple,,,,,,,
13,robe,N,4.59,4.0,0-1-0,réel_haute_court_simple,,,,,,,
14,four,N,4.26,4.0,0-1-0,réel_haute_court_simple,,,,,,,
15,moto,N,4.31,4.0,0-1-0,réel_haute_court_simple,,,,,,,
1,piano,N,4.26,5.0,0-1-0,réel_haute_court_simple,,,,,,,
2,radio,N,4.92,5.0,0-1-0,réel_haute_court_simple,,,,,,,
3,poule,N,4.21,5.0,0-1-0,réel_haute_court_simple,,,,,,,
4,lampe,N,4.04,5.0,0-1-0,réel_haute_court_simple,,,,,,,
5,coeur,N,4.99,5.0,0-1-0,réel_haute_court_simple,,,,,,,
6,règle,N,4.72,5.0,0-1-0,réel_haute_court_simple,,,,,,,
7,glace,N,4.63,5.0,0-1-0,réel_haute_court_simple,,,,,,,
8,voici,adv,99.06323185,5.0,0-1-0,réel_haute_court_simple,,,,,,,
9,voilà,adv,98.82903981,5.0,0-1-0,réel_haute_court_simple,,,,,,,
10,sinon,conjunction/adv,79.62529274,5.0,0-1-0,réel_haute_court_simple,,,,,,,
11,ainsi,adv,78.92271663,5.0,0-1-0,réel_haute_court_simple,,,,,,,
12,grâce,N/preposition,70.72599532,5.0,0-1-0,réel_haute_court_simple,,,,,,,
13,local,Adj/N,4.66,5.0,0-1-0,réel_haute_court_simple,,,,,,,
14,aussi,Adv/conjunction,6.19,5.0,0-1-0,réel_haute_court_simple,,,,,,,
15,avant,prep/adv,5.92,5.0,0-1-0,réel_haute_court_simple,,,,,,,
1,camion,N,4.27,6.0,0-1-0,réel_haute_court_simple,,,,,,,
2,salade,N,4.05,6.0,0-1-0,réel_haute_court_simple,,,,,,,
3,soleil,N,5.03,6.0,0-1-0,réel_haute_court_simple,,,,,,,
4,maison,N,5.53,6.0,0-1-0,réel_haute_court_simple,,,,,,,
5,cloche,N,4.0,6.0,0-1-0,réel_haute_court_simple,,,,,,,
6,langue,N,5.12,6.0,0-1-0,réel_haute_court_simple,,,,,,,
7,oiseau,N,4.31,6.0,0-1-0,réel_haute_court_simple,,,,,,,
8,bateau,N,4.61,6.0,0-1-0,réel_haute_court_simple,,,,,,,
9,volant,N,4.31,6.0,0-1-0,réel_haute_court_simple,,,,,,,
10,casque,N,4.26,6.0,0-1-0,réel_haute_court_simple,,,,,,,
11,jamais,adv,90.39812646,6.0,0-1-0,réel_haute_court_simple,,,,,,,
12,gloire,N,87.35362998,6.0,0-1-0,réel_haute_court_simple,,,,,,,
13,pilule,N,82.20140515,6.0,0-1-0,réel_haute_court_simple,,,,,,,
14,alerte,N/Adj,77.75175644,6.0,0-1-0,réel_haute_court_simple,,,,,,,
15,sombre,Adj ,70.96018735,6.0,0-1-0,réel_haute_court_simple,,,,,,,
1,yeux,N,5.31,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
2,rois,N,4.25,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
3,pris,V,5.44,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
4,venu,V,4.81,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
5,dors,V,4.09,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
6,vécu,V,4.67,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
7,rêvé,V,4.01,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
8,tant,Adj,5.54,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
9,sort,V,5.05,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
10,sens,N,5.5,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
11,tous,pronoun/adj,6.11,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
12,base,N/Adj,5.3,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
13,vive,Adj,4.58,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
14,bons,Adj,4.95,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
15,mort,Adj,5.64,4.0,0-1-1,réel_haute_court_complexe,,,,,,,
1,têtes,N,4.42,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
2,chats,N,4.27,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
3,ponts,N,4.21,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
4,mains,N,5.04,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
5,ailes,N,4.27,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
6,roues,N,4.22,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
7,belle,Adj,5.31,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
8,final,Adj,4.87,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
9,usage,N/Adj,4.83,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
10,idéal,Adj,4.47,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
11,malin,N,4.15,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
12,tueur,Adj,4.05,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
13,revue,N/Adj,4.72,5.0,0-1-1,réel_haute_court_complexe,,,,,,,
14,enfin,Adv,5.47,5.0,1-1-0,réel_haute_court_complexe,,,,,,,
15,remet,V,4.24,5.0,1-1-0,réel_haute_court_complexe,,,,,,,
1,bottes,N,4.01,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
2,doigts,N,4.58,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
3,avions,N,4.74,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
4,pommes,N,4.21,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
5,livres,N,4.97,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
6,fleurs,N,4.67,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
7,cartes,N,4.67,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
8,normal,Adj,4.9,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
9,soirée,N,5.0,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
10,acteur,N,4.64,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
11,fierté,N,4.21,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
12,joueur,N,4.98,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
13,amitié,N,4.55,6.0,0-1-1,réel_haute_court_complexe,,,,,,,
