Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,n_phonemes,n_syllables,Difference Phonemes Letters,Levenshtein Distance,Normalized_Levenshtein_Dist,Affix Frequency
marim,5,short,,simple,,pseudo,,PSS,,,maʁim,5,2,0,1,0.2,
jaren,5,short,,simple,,pseudo,,PSS,,,ʒaʁɛn,5,2,0,1,0.2,
diole,5,short,,simple,,pseudo,,PSS,,,djɔl,4,1,1,1,0.2,
feque,5,short,,simple,,pseudo,,PSS,,,fək,3,1,2,2,0.4,
clide,5,short,,simple,,pseudo,,PSS,,,klid,4,1,1,1,0.2,
trude,5,short,,simple,,pseudo,,PSS,,,tʁyd,4,1,1,1,0.2,
sapis,5,short,,simple,,pseudo,,PSS,,,sapi,4,2,1,1,0.2,
buide,5,short,,simple,,pseudo,,PSS,,,byid,4,1,1,1,0.2,
nèche,5,short,,simple,,pseudo,,PSS,,,nɛʃ,3,1,2,1,0.2,
pingle,6,short,,simple,,pseudo,,PSS,,,pɛ̃ɡl,5,1,1,1,0.1666666667,
rivide,6,short,,simple,,pseudo,,PSS,,,ʁivid,5,2,1,1,0.1666666667,
lacèle,6,short,,simple,,pseudo,,PSS,,,lasɛl,5,2,1,2,0.3333333333,
otalie,6,short,,simple,,pseudo,,PSS,,,otali,5,2,1,1,0.1666666667,
berlue,6,short,,simple,,pseudo,,PSS,,,bɛʁly,5,2,1,2,0.3333333333,
nacule,6,short,,simple,,pseudo,,PSS,,,nakyl,5,2,1,2,0.3333333333,
effala,6,short,,simple,,pseudo,,PSS,,,efala,5,3,1,2,0.3333333333,
tésin,6,short,,simple,,pseudo,,PSS,,,tezɛ̃,4,2,2,2,0.3333333333,
plivie,6,short,,simple,,pseudo,,PSS,,,plivi,5,2,1,2,0.3333333333,
arcove,6,short,,simple,,pseudo,,PSS,,,aʁkɔv,5,2,1,2,0.3333333333,
pacheril,8,long,,simple,,pseudo,,PLS,,,paʃʁil,6,3,2,3,0.375,
rancolat,8,long,,simple,,pseudo,,PLS,,,ʁɑ̃kola,7,3,1,3,0.375,
carluque,8,long,,simple,,pseudo,,PLS,,,kaʁlyk,6,2,2,2,0.25,
chalgame,8,long,,simple,,pseudo,,PLS,,,ʃalɡam,6,2,2,2,0.25,
héricole,8,long,,simple,,pseudo,,PLS,,,eʁikɔl,6,3,2,2,0.25,
fribuste,8,long,,simple,,pseudo,,PLS,,,fʁibyst,7,2,1,2,0.25,
neunièle,8,long,,simple,,pseudo,,PLS,,,nønjɛl,5,2,3,2,0.25,
frémoule,8,long,,simple,,pseudo,,PLS,,,fʁəmul,6,2,2,3,0.375,
roupiote,8,long,,simple,,pseudo,,PLS,,,ʁupjɔt,6,2,2,3,0.375,
cibourot,8,long,,simple,,pseudo,,PLS,,,sibuʁo,6,3,2,3,0.375,
aubedulle,9,long,,simple,,pseudo,,PLS,,,obdyl,5,3,4,3,0.3333333333,
dingouron,9,long,,simple,,pseudo,,PLS,,,dɛ̃ɡuʁɔ̃,8,3,1,3,0.3333333333,
ritourque,9,long,,simple,,pseudo,,PLS,,,ʁituʁk,6,2,3,2,0.2222222222,
téralemet,9,long,,simple,,pseudo,,PLS,,,təʁalmɛ,7,4,2,3,0.3333333333,
brambouse,9,long,,simple,,pseudo,,PLS,,,bʁɑ̃buz,6,2,3,2,0.2222222222,
sonsuaine,9,long,,simple,,pseudo,,PLS,,,sɔ̃syɛn,7,2,2,3,0.3333333333,
roduillon,9,long,,simple,,pseudo,,PLS,,,ʁodyijɔ̃,7,3,2,5,0.5555555556,
gariplete,9,long,,simple,,pseudo,,PLS,,,ɡaʁiplət,7,3,2,3,0.3333333333,
tartifuge,9,long,,simple,,pseudo,,PLS,,,taʁtifyʒ,8,3,1,3,0.3333333333,
évandesin,9,long,,simple,,pseudo,,PLS,,,evɑ̃dzɛ̃,6,4,3,5,0.5555555556,
