Pseudoword,Word,Lemma,prs,n_morphemes,Length
sacqyé,sacqué,sacqué,"(0, 1, 0)",1,6
rongge,ronge,ronger,"(0, 1, 0)",1,6
aybain,aubain,aubain,"(0, 1, 0)",1,6
atloce,atroce,atroce,"(0, 1, 0)",1,6
astyce,astuce,astuce,"(0, 1, 0)",1,6
assidw,assidu,assidu,"(0, 1, 0)",1,6
assayt,assaut,assaut,"(0, 1, 0)",1,6
altère,artère,artère,"(0, 1, 0)",1,6
songge,songe,songe,"(0, 1, 0)",1,6
sognme,somme,somme,"(0, 1, 0)",1,6
simuer,sinuer,sinuer,"(0, 1, 0)",1,6
singon,sinon,sinon,"(0, 1, 0)",1,6
singge,singe,singe,"(0, 1, 0)",1,6
siffra,siffla,siffler,"(0, 1, 0)",1,6
seltie,sertie,sertir,"(0, 1, 0)",1,6
sépala,sépara,séparer,"(0, 1, 0)",1,6
sembra,sembla,sembler,"(0, 1, 0)",1,6
secoya,secoua,secouer,"(0, 1, 0)",1,6
scryta,scruta,scruter,"(0, 1, 0)",1,6
argire,argile,argile,"(0, 1, 0)",1,6
aprène,aprème,aprème,"(0, 1, 0)",1,6
apôtle,apôtre,apôtre,"(0, 1, 0)",1,6
agntan,antan,antan,"(0, 1, 0)",1,6
agngle,angle,angle,"(0, 1, 0)",1,6
amgine,angine,angine,"(0, 1, 0)",1,6
amcien,ancien,ancien,"(0, 1, 0)",1,6
agnple,ample,ample,"(0, 1, 0)",1,6
amilal,amiral,amiral,"(0, 1, 0)",1,6
ambigw,ambigu,ambigu,"(0, 1, 0)",1,6
arlure,allure,allure,"(0, 1, 0)",1,6
tongba,tomba,tomber,"(0, 1, 0)",1,6
teltio,tertio,tertio,"(0, 1, 0)",1,6
tangné,tanné,tanner,"(0, 1, 0)",1,6
tairle,taille,taille,"(0, 1, 0)",1,6
statwe,statue,statue,"(0, 1, 0)",1,6
sporié,spolié,spolier,"(0, 1, 0)",1,6
tlique,trique,trique,"(0, 1, 0)",1,6
tlimer,trimer,trimer,"(0, 1, 0)",1,6
tliche,triche,triche,"(0, 1, 0)",1,6
tlempa,trempa,tremper,"(0, 1, 0)",1,6
tlansi,transi,transir,"(0, 1, 0)",1,6
tlaita,traita,traiter,"(0, 1, 0)",1,6
traîma,traîna,traîner,"(0, 1, 0)",1,6
towcha,toucha,toucher,"(0, 1, 0)",1,6
tolche,torche,torche,"(0, 1, 0)",1,6
tognne,tonne,tonne,"(0, 1, 0)",1,6
tognbe,tombe,tombe,"(0, 1, 0)",1,6
arcôve,alcôve,alcôve,"(0, 1, 0)",1,6
arcool,alcool,alcool,"(0, 1, 0)",1,6
agmeau,agneau,agneau,"(0, 1, 0)",1,6
affles,affres,affre,"(0, 1, 0)",1,6
adurte,adulte,adulte,"(0, 1, 0)",1,6
adnget,admet,admettre,"(0, 1, 0)",1,6
vouage,voyage,voyage,"(0, 1, 0)",1,6
vrirle,vrille,vrille,"(0, 1, 0)",1,6
jockeu,jockey,jockey,"(0, 1, 0)",1,6
zweute,zyeute,zyeuter,"(0, 1, 0)",1,6
goldem,golden,golden,"(0, 1, 0)",1,6
