Pseudoword,Word,Lemma,prs,n_morphemes,Length,Levenshtein Distance,Normalized Levenshtein Distance
grerottait,grelottait,grêle,"(0, 1, 2)",3,10,3,0.3
morlassons,mollassons,mou,"(0, 1, 2)",3,10,3,0.3
gnalignité,malignité,mal,"(0, 1, 2)",3,10,2,0.2222222222222222
lalmoyante,larmoyante,larme,"(0, 1, 2)",3,10,3,0.3
horripirée,horripilée,horreur,"(0, 1, 2)",3,10,3,0.3
grelottamt,grelottant,grêle,"(0, 1, 2)",3,10,3,0.3
gagnbettes,gambettes,gamb,"(0, 1, 1)",2,10,2,0.2222222222222222
frammèches,flammèches,flamme,"(0, 1, 1)",2,10,3,0.3
pesammengt,pesamment,peser,"(0, 1, 2)",3,10,2,0.2222222222222222
ognbrageux,ombrageux,ombre,"(0, 1, 2)",3,10,2,0.2222222222222222
oeilletong,oeilleton,oeil,"(0, 1, 2)",3,10,2,0.2222222222222222
