Comments,Word,Wordlength,Length,Frequency,Morphology,Structure,Lexicality,Frequency,Zipf Frequency,Condition,Lemma,Zipf Lemma Frequency,Phonemes,n_phonemes,n_syllables,Difference phonemes letters,Affix_Freq
yes,tapis,5,short,high,simple,r,real,high,4.28,RSHS,tapis,4.28,tapi,4,2,-1,
yes,fleur,5,short,high,simple,r,real,high,4.34,RSHS,fleur,4.34,flœʁ,4,1,-1,
yes,siège,5,short,high,simple,r,real,high,4.8,RSHS,siège,4.8,sjɛʒ,4,1,-1,
yes,jambe,5,short,high,simple,r,real,high,4.19,RSHS,jambe,4.19,ʒɑ̃b,4,1,-1,
yes,vidéo,5,short,high,simple,r,real,high,5.27,RSHS,vidéo,5.27,video,5,2,0,
yes,lapin,5,short,high,simple,r,real,high,4.11,RSHS,lapin,4.11,lapɛ̃,5,2,0,
yes,crème,5,short,high,simple,r,real,high,4.39,RSHS,crème,4.39,kʁɛm,4,1,-1,
yes,nuage,5,short,high,simple,r,real,high,4.01,RSHS,nuage,4.01,nyaʒ,4,1,-1,
yes,tarif,5,short,high,simple,r,real,high,4.19,RSHS,tarif,4.14,taʁif,5,2,0,
yes,argent,6,short,high,simple,r,real,high,5.37,RSHS,argent,5.37,aʁʒɑ̃,5,2,-1,N/A
yes,saison,6,short,high,simple,r,real,high,5.32,RSHS,saison,5.32,sɛzɔ̃,5,2,-1,N/A
yes,propre,6,short,high,simple,r,real,high,5.21,RSHS,propre,5.21,pʁɔpʁ,5,1,-1,N/A
yes,siècle,6,short,high,simple,r,real,high,5.19,RSHS,siècle,5.19,sjɛkl,5,1,-1,N/A
yes,soleil,6,short,high,simple,r,real,high,5.03,RSHS,soleil,5.03,solɛj,5,2,-1,N/A
yes,simple,6,short,high,simple,r,real,high,5.25,RSHS,simple,5.25,sɛ̃pl,5,1,-1,N/A
yes,moulin,6,short,high,simple,r,real,high,4.12,RSHS,moulin,4.12,mulɛ̃,5,2,-1,N/A
yes,viande,6,short,high,simple,r,real,high,4.51,RSHS,viande,4.51,vjɑ̃d,5,1,-1,N/A
yes,facile,6,short,high,simple,r,real,high,5.1,RSHS,facile,5.1,fasil,5,2,-1,N/A
yes,jardin,6,short,high,simple,r,real,high,4.67,RSHS,jardin,4.67,ʒaʁdɛ̃,6,2,0,N/A
yes,problème,8,long,high,simple,r,real,high,5.41,RLHS,problème,5.41,pʁɔblɛm,7,2,-1,N/A
yes,complexe,8,long,high,simple,r,real,high,4.66,RLHS,complexe,4.66,kɔ̃plɛks,8,2,0,N/A
yes,scandale,8,long,high,simple,r,real,high,4.34,RLHS,scandale,4.34,skɑ̃dal,7,2,-1,N/A
yes,chocolat,8,long,high,simple,r,real,high,4.49,RLHS,chocolat,4.49,ʃokola,6,3,-2,N/A
yes,commerce,8,long,high,simple,r,real,high,4.93,RLHS,commerce,4.93,kɔmɛʁs,6,2,-2,N/A
yes,religion,8,long,high,simple,r,real,high,4.85,RLHS,religion,4.85,ʁəliʒjɔ̃,8,3,0,N/A
yes,terasse,8,long,high,simple,r,real,high,4.09,RLHS,terasse,4.09,tɛʁas,5,2,-3,N/A
yes,marathon,8,long,high,simple,r,real,high,4.01,RLHS,marathon,4.01,maʁatɔ̃,7,3,-1,N/A
yes,victoire,8,long,high,simple,r,real,high,5.02,RLHS,victoire,5.02,viktwaʁ,7,2,-1,N/A
yes,séquence,8,long,high,simple,r,real,high,4.09,RLHS,séquence,4.09,sekɑ̃s,6,2,-2,N/A
yes,catalogue,9,long,high,simple,r,real,high,4.29,RLHS,catalogue,4.29,kataloɡ,7,3,-2,N/A
yes,phénomène,9,long,high,simple,r,real,high,4.62,RLHS,phénomène,4.62,fenomɛn,7,3,-2,N/A
