Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
finalement,fin,10,rss,real,long,high,complex,5.02,RLHC
artistique,art,10,rss,real,long,high,complex,4.42,RLHC
socialisme,soci,10,rss,real,long,medium,complex,3.96,RLHC
émotionnel,émot,10,rss,real,long,medium,complex,3.59,RLHC
visibilité,vis,10,rss,real,long,high,complex,4.06,RLHC
activement,act,10,rss,real,long,medium,complex,3.98,RLHC
sensualité,sensu,10,rss,real,long,low,complex,3.25,RLLC
royalement,roy,10,rss,real,long,low,complex,3.12,RLLC
neutralité,neutr,10,rss,real,long,medium,complex,3.91,RLHC
malicieuse,mal,10,rss,real,long,low,complex,2.57,RLLC
sacrifice,sacr,9,rss,real,long,high,complex,4.03,RLHC
sexualité,sex,9,rss,real,long,medium,complex,3.98,RLHC
formalité,form,9,rss,real,long,low,complex,3.36,RLLC
brutalité,brut,9,rss,real,long,medium,complex,3.5,RLHC
captivité,capt,9,rss,real,long,medium,complex,3.61,RLHC
idéaliste,idé,9,rss,real,long,low,complex,3.25,RLLC
mortalité,mort,9,rss,real,long,medium,complex,3.93,RLHC
pesanteur,pes,9,rss,real,long,low,complex,2.97,RLLC
idéalisme,idé,9,rss,real,long,low,complex,3.07,RLLC
éditorial,édit,9,rss,real,long,medium,complex,3.58,RLHC
passager,pass,8,rss,real,long,medium,complex,3.87,RLHC
festival,fest,8,rss,real,long,high,complex,4.77,RLHC
tonalité,ton,8,rss,real,long,low,complex,3.38,RLLC
vitalité,vit,8,rss,real,long,medium,complex,3.55,RLHC
finalité,fin,8,rss,real,long,medium,complex,3.59,RLHC
sonorité,son,8,rss,real,long,low,complex,3.17,RLLC
nativité,nat,8,rss,real,long,low,complex,3.02,RLLC
orbital,orb,7,rss,real,long,low,complex,2.84,RLLC
réalisateur,réal,11,rsss,real,long,high,complex,4.37,RLHC
utilisation,util,11,rsss,real,long,high,complex,4.84,RLHC
réalisation,réal,11,rsss,real,long,high,complex,4.59,RLHC
ventilation,vent,11,rsss,real,long,medium,complex,3.59,RLHC
ventilateur,vent,11,rsss,real,long,low,complex,3.37,RLLC
utilisateur,util,11,rsss,real,long,high,complex,4.25,RLHC
puritanisme,pur,11,rsss,real,long,low,complex,2.56,RLLC
égalisateur,égal,11,rsss,real,long,low,complex,2.27,RLLC
activation,act,10,rsss,real,long,low,complex,3.46,RLLC
créativité,cré,10,rsss,real,long,medium,complex,3.85,RLHC
