Word,Wordlength,Condition,Audio_Male,Audio_Female
blité,5,PSC,blité_MALE_G.wav,blité_FEMALE_C.wav
surpu,5,PSC,surpu_MALE_G.wav,surpu_FEMALE_C.wav
hueur,5,PSC,hueur_MALE_G.wav,hueur_FEMALE_C.wav
duage,5,PSC,duage_MALE_G.wav,duage_FEMALE_C.wav
exhara,6,PSC,exhara_MALE_G.wav,exhara_FEMALE_C.wav
cliard,6,PSC,cliard_MALE_G.wav,cliard_FEMALE_C.wav
apleté,6,PSC,apleté_MALE_G.wav,apleté_FEMALE_C.wav
déravé,6,PSC,déravé_MALE_G.wav,déravé_FEMALE_C.wav
lodeur,6,PSC,lodeur_MALE_G.wav,lodeur_FEMALE_C.wav
récumi,6,PSC,récumi_MALE_G.wav,récumi_FEMALE_C.wav
vélolé,6,PSC,vélolé_MALE_G.wav,vélolé_FEMALE_C.wav
clueur,6,PSC,clueur_MALE_G.wav,clueur_FEMALE_C.wav
détria,6,PSC,détria_MALE_G.wav,détria_FEMALE_C.wav
dénoya,6,PSC,dénoya_MALE_G.wav,dénoya_FEMALE_C.wav
instagne,8,PLC,instagne_MALE_G.wav,instagne_FEMALE_C.wav
nonlexie,8,PLC,nonlexie_MALE_G.wav,nonlexie_FEMALE_C.wav
révoutir,8,PLC,révoutir_MALE_G.wav,révoutir_FEMALE_C.wav
surgalir,8,PLC,surgalir_MALE_G.wav,surgalir_FEMALE_C.wav
glonable,8,PLC,glonable_MALE_G.wav,glonable_FEMALE_C.wav
déforion,8,PLC,déforion_MALE_G.wav,déforion_FEMALE_C.wav
bransier,8,PLC,bransier_MALE_G.wav,bransier_FEMALE_C.wav
prénoule,8,PLC,prénoule_MALE_G.wav,prénoule_FEMALE_C.wav
déconnal,8,PLC,déconnal_MALE_G.wav,déconnal_FEMALE_C.wav
alincère,8,PLC,alincère_MALE_G.wav,alincère_FEMALE_C.wav
récortune,9,PLC,récortune_MALE_G.wav,récortune_FEMALE_C.wav
maloriste,9,PLC,maloriste_MALE_G.wav,maloriste_FEMALE_C.wav
crémosant,9,PLC,crémosant_MALE_G.wav,crémosant_FEMALE_C.wav
incompoir,9,PLC,incompoir_MALE_G.wav,incompoir_FEMALE_C.wav
rentonice,9,PLC,rentonice_MALE_G.wav,rentonice_FEMALE_C.wav
carichier,9,PLC,carichier_MALE_G.wav,carichier_FEMALE_C.wav
plantissé,9,PLC,plantissé_MALE_G.wav,plantissé_FEMALE_C.wav
érogieuse,9,PLC,érogieuse_MALE_G.wav,érogieuse_FEMALE_C.wav
cabariste,9,PLC,cabariste_MALE_G.wav,cabariste_FEMALE_C.wav
cirlement,9,PLC,cirlement_MALE_G.wav,cirlement_FEMALE_C.wav
vithe,5,PSS,vithe_MALE_G.wav,vithe_FEMALE_C.wav
marim,5,PSS,marim_MALE_G.wav,marim_FEMALE_C.wav
jaren,5,PSS,jaren_MALE_G.wav,jaren_FEMALE_C.wav
diole,5,PSS,diole_MALE_G.wav,diole_FEMALE_C.wav
feque,5,PSS,feque_MALE_G.wav,feque_FEMALE_C.wav
clide,5,PSS,clide_MALE_G.wav,clide_FEMALE_C.wav
trude,5,PSS,trude_MALE_G.wav,trude_FEMALE_C.wav
sapis,5,PSS,sapis_MALE_G.wav,sapis_FEMALE_C.wav
buide,5,PSS,buide_MALE_G.wav,buide_FEMALE_C.wav
nèche,5,PSS,nèche_MALE_G.wav,nèche_FEMALE_C.wav
pingle,6,PSS,pingle_MALE_G.wav,pingle_FEMALE_C.wav
rivide,6,PSS,rivide_MALE_G.wav,rivide_FEMALE_C.wav
lacèle,6,PSS,lacèle_MALE_G.wav,lacèle_FEMALE_C.wav
otalie,6,PSS,otalie_MALE_G.wav,otalie_FEMALE_C.wav
berlue,6,PSS,berlue_MALE_G.wav,berlue_FEMALE_C.wav
nacule,6,PSS,nacule_MALE_G.wav,nacule_FEMALE_C.wav
effala,6,PSS,effala_MALE_G.wav,effala_FEMALE_C.wav
tésin,6,PSS,tésin_MALE_G.wav,tésin_FEMALE_C.wav
plivie,6,PSS,plivie_MALE_G.wav,plivie_FEMALE_C.wav
arcove,6,PSS,arcove_MALE_G.wav,arcove_FEMALE_C.wav
pacheril,8,PLS,pacheril_MALE_G.wav,pacheril_FEMALE_C.wav
rancolat,8,PLS,rancolat_MALE_G.wav,rancolat_FEMALE_C.wav
carluque,8,PLS,carluque_MALE_G.wav,carluque_FEMALE_C.wav
chalgame,8,PLS,chalgame_MALE_G.wav,chalgame_FEMALE_C.wav
héricole,8,PLS,héricole_MALE_G.wav,héricole_FEMALE_C.wav
fribuste,8,PLS,fribuste_MALE_G.wav,fribuste_FEMALE_C.wav
neunièle,8,PLS,neunièle_MALE_G.wav,neunièle_FEMALE_C.wav
frémoule,8,PLS,frémoule_MALE_G.wav,frémoule_FEMALE_C.wav
roupiote,8,PLS,roupiote_MALE_G.wav,roupiote_FEMALE_C.wav
cibourot,8,PLS,cibourot_MALE_G.wav,cibourot_FEMALE_C.wav
aubedulle,9,PLS,aubedulle_MALE_G.wav,aubedulle_FEMALE_C.wav
dingouron,9,PLS,dingouron_MALE_G.wav,dingouron_FEMALE_C.wav
ritourque,9,PLS,ritourque_MALE_G.wav,ritourque_FEMALE_C.wav
téralemet,9,PLS,téralemet_MALE_G.wav,téralemet_FEMALE_C.wav
brambouse,9,PLS,brambouse_MALE_G.wav,brambouse_FEMALE_C.wav
sonsuaine,9,PLS,sonsuaine_MALE_G.wav,sonsuaine_FEMALE_C.wav
roduillon,9,PLS,roduillon_MALE_G.wav,roduillon_FEMALE_C.wav
gariplete,9,PLS,gariplete_MALE_G.wav,gariplete_FEMALE_C.wav
tartifuge,9,PLS,tartifuge_MALE_G.wav,tartifuge_FEMALE_C.wav
évandesin,9,PLS,évandesin_MALE_G.wav,évandesin_FEMALE_C.wav
