Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
huilé,huile,"(0, 1, 1)",0.56,2,5,4.59,2.65
hâtif,hâte,"(0, 1, 1)",2.42999999999999,2,5,4.4,2.63
chopé,chope,"(0, 1, 1)",9.48,2,5,3.17,3.22
causa,cause,"(0, 1, 1)",40.37,2,5,5.4,3.32
coudé,coude,"(0, 1, 1)",0.04,2,5,3.89,2.26
corné,corne,"(0, 1, 1)",1.18,2,5,3.61,2.13
copié,copie,"(0, 1, 1)",5.13,2,5,4.38,3.49
haché,hache,"(0, 1, 1)",1.99999999999999,2,5,3.69,3.15
guida,guide,"(0, 1, 1)",16.13,2,5,4.5,2.48
gradé,grade,"(0, 1, 1)",3.46,2,5,4.0,3.02
goûta,goût,"(0, 1, 1)",39.25,2,5,4.81,1.6
gorgé,gorge,"(0, 1, 1)",6.58,2,5,4.33,2.62
glaça,glace,"(0, 1, 1)",84.8999999999999,2,5,4.63,1.59
gifla,gifle,"(0, 1, 1)",4.70999999999999,2,5,3.37,1.49
garda,garde,"(0, 1, 1)",233.23,2,5,5.13,3.07
gaîté,gaî,"(0, 1, 1)",0.55,2,5,0.0,2.96
exilé,exil,"(0, 1, 1)",3.42999999999999,2,5,4.02,3.4
fumet,fumer,"(0, 1, 1)",0.24,2,5,4.24,2.55
forma,forme,"(0, 1, 1)",30.9,2,5,5.35,3.15
conté,conte,"(0, 1, 1)",1.79,2,5,4.19,2.95
colla,colle,"(0, 1, 1)",28.45,2,5,4.21,2.65
cloua,clou,"(0, 1, 1)",7.64,2,5,3.65,1.29
damez,dame,"(0, 1, 1)",0.02,2,5,4.82,1.02
dallé,dalle,"(0, 1, 1)",0.0,2,5,3.98,1.97
cuver,cuve,"(0, 1, 1)",0.51,2,5,3.56,2.08
ferré,fer,"(0, 1, 1)",4.34,2,5,4.82,3.32
fardé,fard,"(0, 1, 1)",0.17,2,5,3.02,1.47
farci,farce,"(0, 1, 1)",5.08,2,5,3.66,2.77
dilue,dilu,"(0, 1, 1)",0.63,2,5,0.0,2.56
dansa,danse,"(0, 1, 1)",102.06,2,5,4.7,2.17
crêpé,crêpe,"(0, 1, 1)",0.16,2,5,3.33,1.28
crado,crade,"(0, 1, 1)",0.17,2,5,2.89,2.3
coûta,coût,"(0, 1, 1)",81.81,2,5,4.67,2.53
durci,dur,"(0, 1, 1)",1.63,2,5,4.95,2.86
drapé,drap,"(0, 1, 1)",0.54,2,5,3.51,2.75
douta,doute,"(0, 1, 1)",34.92,2,5,5.22,1.83
usagé,user,"(0, 1, 2)",0.22,3,5,3.86,2.79
étira,tir,"(1, 1, 1)",3.12,3,5,4.43,2.14
élimé,lime,"(1, 1, 1)",0.01,3,5,3.19,1.78
égayé,gay,"(1, 1, 1)",1.07,3,5,4.49,2.31
écria,cri,"(1, 1, 1)",1.5,3,5,4.1,2.74
mulet,mule,"(0, 1, 1)",3.67999999999999,2,5,3.17,2.97
raviva,vivre,"(2, 1, 1)",0.8,4,6,5.21,1.72
ramena,mener,"(2, 1, 0)",168.97,3,6,4.48,2.7
retapé,tape,"(1, 1, 1)",2.75,3,6,4.25,2.38
replia,pli,"(1, 1, 1)",6.12999999999999,3,6,3.36,2.05
ravisa,avis,"(1, 1, 1)",0.4,3,6,5.21,1.78
litron,litre,"(0, 1, 1)",0.2,2,6,3.82,1.68
novice,nouveau,"(0, 1, 1)",3.3,2,6,5.63,3.34
ourson,ours,"(0, 1, 1)",1.52,2,6,4.24,3.16
pelage,peler,"(0, 1, 1)",0.44,2,6,2.66,3.11
piéton,pied,"(0, 1, 1)",1.55,2,6,5.04,3.4
psyché,psycho,"(0, 1, 1)",0.7,2,6,3.61,3.22
puante,pu,"(0, 1, 1)",4.27999999999999,2,6,5.43,2.81
rameau,rame,"(0, 1, 1)",1.92,2,6,3.63,3.34
ramure,rame,"(0, 1, 1)",0.12,2,6,3.63,1.97
rareté,rare,"(0, 1, 1)",0.51,2,6,4.67,3.45
limier,lime,"(0, 1, 1)",0.77,2,6,3.19,2.47
édenté,dent,"(1, 1, 1)",0.56,3,6,4.07,2.14
égorge,gorge,"(1, 1, 1)",7.18999999999999,3,6,4.33,2.77
embuer,buer,"(1, 1, 1)",0.16,3,6,1.26,1.26
empira,pire,"(1, 1, 1)",7.69999999999999,3,6,5.1,1.6
encodé,code,"(1, 1, 1)",0.89,3,6,5.0,2.2
énerva,nerf,"(1, 1, 1)",56.6999999999999,3,6,3.69,1.73
enfila,fil,"(1, 1, 1)",10.07,3,6,4.82,2.24
englué,glu,"(1, 1, 1)",0.21,3,6,2.68,2.39
enrage,rage,"(1, 1, 1)",8.76,3,6,4.23,2.75
envola,vol,"(1, 1, 1)",27.81,3,6,4.96,2.31
dindon,dinde,"(0, 1, 1)",1.23,2,6,3.46,2.92
dîners,dîner,"(0, 1, 1)",3.72,2,6,4.29,3.27
