Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
noilâtre,noirâtre,noir,6,"(0, 1, 1)",2,8.0
gneutron,neutron,neutre,7,"(0, 1, 1)",2,8.0
ngettoie,nettoie,net,6,"(0, 1, 1)",2,8.0
vélacité,véracité,vérité,8,"(0, 1, 2)",3,8.0
almurier,armurier,arme,7,"(0, 1, 2)",3,8.0
plopreté,propreté,propre,7,"(0, 1, 1)",2,8.0
plésence,présence,présent,8,"(0, 1, 1)",2,8.0
plobants,probants,prob,7,"(0, 1, 1)",2,8.0
primcier,princier,prince,6,"(0, 1, 1)",2,8.0
plimaire,primaire,prime,7,"(0, 1, 1)",2,8.0
obscyrci,obscurci,obscur,6,"(0, 1, 1)",2,8.0
nguptial,nuptial,nupt,7,"(0, 1, 1)",2,8.0
pururent,purulent,puruler,8,"(0, 1, 1)",2,8.0
pyrgatif,purgatif,purge,8,"(0, 1, 1)",2,8.0
mégation,négation,négat,8,"(0, 1, 1)",2,8.0
nauflagé,naufragé,naufrage,8,"(0, 1, 1)",2,8.0
ngaturel,naturel,nature,6,"(0, 1, 1)",2,8.0
gnaseaux,naseaux,nez,6,"(0, 1, 1)",2,8.0
nasaldes,nasardes,nez,8,"(0, 1, 1)",2,8.0
nalratif,narratif,narrer,8,"(0, 1, 1)",2,8.0
quadlant,quadrant,quatre,8,"(0, 1, 1)",2,8.0
pylpeuse,pulpeuse,pulpe,7,"(0, 1, 1)",2,8.0
plunelle,prunelle,prune,7,"(0, 1, 1)",2,8.0
pludence,prudence,prud,8,"(0, 1, 1)",2,8.0
volacité,voracité,vore,7,"(0, 1, 2)",3,8.0
vitarité,vitalité,vivre,8,"(0, 1, 2)",3,8.0
pugnitif,punitif,pun,6,"(0, 1, 1)",2,8.0
profagné,profané,profane,7,"(0, 1, 1)",2,8.0
noweuses,noueuses,nou,7,"(0, 1, 1)",2,8.0
ngotaire,notaire,note,6,"(0, 1, 1)",2,8.0
gnouvant,mouvant,mouvoir,6,"(0, 1, 1)",2,8.0
moyvance,mouvance,mouvoir,7,"(0, 1, 1)",2,8.0
lacistes,racistes,race,8,"(0, 1, 1)",2,8.0
raboteyr,raboteur,rabot,5,"(0, 1, 1)",2,8.0
labotage,rabotage,rabot,7,"(0, 1, 1)",2,8.0
qwiétude,quiétude,quiet,7,"(0, 1, 1)",2,8.0
quêteuls,quêteurs,quête,6,"(0, 1, 1)",2,8.0
somorité,sonorité,son,6,"(0, 1, 2)",3,8.0
mystiqye,mystique,myst,7,"(0, 1, 1)",2,8.0
lectifia,rectifia,rect,8,"(0, 1, 1)",2,8.0
larement,rarement,rare,8,"(0, 1, 1)",2,8.0
raisomne,raisonne,raison,7,"(0, 1, 1)",2,8.0
lailleur,railleur,railler,6,"(0, 1, 1)",2,8.0
ladoteur,radoteur,radoter,6,"(0, 1, 1)",2,8.0
nerveyse,nerveuse,nerf,7,"(0, 1, 1)",2,8.0
meigeait,neigeait,neige,8,"(0, 1, 1)",2,8.0
rentabre,rentable,rente,7,"(0, 1, 1)",2,8.0
lencarde,rencarde,rencard,7,"(0, 1, 1)",2,8.0
lenauder,renauder,renaud,6,"(0, 1, 1)",2,8.0
rarlonge,rallonge,long,7,"(2, 1, 1)",4,8.0
léalités,réalités,réel,8,"(0, 1, 1)",2,8.0
réarisme,réalisme,réel,8,"(0, 1, 1)",2,8.0
lapidité,rapidité,rapid,8,"(0, 1, 1)",2,8.0
rangages,ramages,rame,7,"(0, 1, 1)",2,8.0
râlememt,râlement,râle,8,"(0, 1, 1)",2,8.0
ladicale,radicale,radic,8,"(0, 1, 1)",2,8.0
racorage,racolage,racoler,8,"(0, 1, 1)",2,8.0
quererla,querella,querelle,8,"(0, 1, 1)",2,8.0
mwtation,mutation,muter,8,"(0, 1, 1)",2,8.0
mysicien,musicien,musique,8,"(0, 1, 1)",2,8.0
ngusical,musical,musique,7,"(0, 1, 1)",2,8.0
mulaille,muraille,mur,8,"(0, 1, 1)",2,8.0
nortifia,mortifia,mort,7,"(0, 1, 1)",2,8.0
mongtant,montant,monter,5,"(0, 1, 1)",2,8.0
mogndial,mondial,monde,5,"(0, 1, 1)",2,8.0
gnondain,mondain,monde,5,"(0, 1, 1)",2,8.0
morlesse,mollesse,mou,7,"(0, 1, 1)",2,8.0
leceveur,receveur,recevoir,6,"(0, 1, 1)",2,8.0
leceleur,receleur,recel,6,"(0, 1, 1)",2,8.0
pyanteur,puanteur,pu,5,"(0, 1, 2)",3,8.0
balwchon,baluchon,balle,7,"(0, 1, 2)",3,8.0
rembarle,remballe,balle,8,"(2, 1, 1)",4,8.0
gnousser,mousser,mousse,5,"(0, 1, 1)",2,8.0
mouragnt,mourant,mourir,6,"(0, 1, 1)",2,8.0
mourures,moulures,moul,6,"(0, 1, 1)",2,8.0
ngoulait,moulait,moule,6,"(0, 1, 1)",2,8.0
mouchald,mouchard,mouche,6,"(0, 1, 1)",2,8.0
lépliqua,répliqua,réplique,7,"(0, 1, 1)",2,8.0
reratifs,relatifs,relation,8,"(0, 1, 1)",2,8.0
légulier,régulier,règle,7,"(0, 1, 1)",2,8.0
régengce,régence,régir,7,"(0, 1, 1)",2,8.0
moerlons,moellons,moelle,6,"(0, 1, 1)",2,8.0
modwlait,modulait,module,7,"(0, 1, 1)",2,8.0
mobirité,mobilité,mobile,7,"(0, 1, 1)",2,8.0
mobirisé,mobilisé,mobile,7,"(0, 1, 1)",2,8.0
salenent,salement,sale,8,"(0, 1, 1)",2,8.0
sagememt,sagement,sage,8,"(0, 1, 1)",2,8.0
sabrangt,sabrant,sabre,7,"(0, 1, 1)",2,8.0
ludoyant,rudoyant,rude,8,"(0, 1, 1)",2,8.0
rydement,rudement,rude,8,"(0, 1, 1)",2,8.0
lougeaud,rougeaud,rouge,6,"(0, 1, 1)",2,8.0
rigorard,rigolard,rigoler,7,"(0, 1, 1)",2,8.0
legardée,regardée,regard,8,"(0, 1, 1)",2,8.0
légalait,régalait,régal,8,"(0, 1, 1)",2,8.0
lenferme,renferme,fermer,7,"(2, 1, 0)",3,8.0
renporte,remporte,porte,7,"(2, 1, 0)",3,8.0
lapporte,rapporte,porte,7,"(2, 1, 0)",3,8.0
lapporta,rapporta,porter,7,"(2, 1, 0)",3,8.0
rarliait,ralliait,lier,8,"(2, 1, 0)",3,8.0
niséreux,miséreux,misère,7,"(0, 1, 1)",2,8.0
miloiter,miroiter,mir,7,"(0, 1, 1)",2,8.0
minuteul,minuteur,minute,5,"(0, 1, 1)",2,8.0
gninimal,minimal,minime,6,"(0, 1, 1)",2,8.0
nillième,millième,mille,8,"(0, 1, 1)",2,8.0
miritant,militant,milit,8,"(0, 1, 1)",2,8.0
miricien,milicien,milice,8,"(0, 1, 1)",2,8.0
nexicain,mexicain,mexic,8,"(0, 1, 1)",2,8.0
meultrir,meurtrir,meurtre,7,"(0, 1, 1)",2,8.0
renuante,remuante,remuer,8,"(0, 1, 1)",2,8.0
leliquat,reliquat,relique,7,"(0, 1, 1)",2,8.0
ngénager,ménager,ménage,5,"(0, 1, 1)",2,8.0
secogndé,secondé,second,7,"(0, 1, 1)",2,8.0
scagnner,scanner,scan,6,"(0, 1, 1)",2,8.0
savoyald,savoyard,savoie,7,"(0, 1, 1)",2,8.0
savonnel,savonner,savon,6,"(0, 1, 1)",2,8.0
sangrota,sanglota,sanglot,6,"(0, 1, 1)",2,8.0
locaille,rocaille,roc,7,"(0, 1, 1)",2,8.0
livalité,rivalité,rival,8,"(0, 1, 1)",2,8.0
rituerle,rituelle,rite,8,"(0, 1, 1)",2,8.0
lichesse,richesse,riche,8,"(0, 1, 1)",2,8.0
réswltat,résultat,résulter,8,"(0, 1, 1)",2,8.0
lepérage,repérage,repère,8,"(0, 1, 1)",2,8.0
regntier,rentier,rente,5,"(0, 1, 1)",2,8.0
laffermi,raffermi,ferme,8,"(2, 1, 1)",4,8.0
ranassis,ramassis,masser,8,"(2, 1, 1)",4,8.0
sulélevé,surélevé,lever,8,"(2, 1, 0)",3,8.0
lotative,rotative,rot,7,"(0, 1, 1)",2,8.0
rotatiom,rotation,rot,7,"(0, 1, 1)",2,8.0
longeurs,rongeurs,ronger,4,"(0, 1, 1)",2,8.0
londelle,rondelle,rond,6,"(0, 1, 1)",2,8.0
rogncier,roncier,ronc,4,"(0, 1, 1)",2,8.0
rochewse,rocheuse,roche,6,"(0, 1, 1)",2,8.0
sarivant,salivant,salive,8,"(0, 1, 1)",2,8.0
mémolial,mémorial,mémoire,8,"(0, 1, 1)",2,8.0
mélanggé,mélangé,mélange,7,"(0, 1, 1)",2,8.0
gnéfiant,méfiant,méfier,7,"(0, 1, 1)",2,8.0
néfiance,méfiance,méfier,8,"(0, 1, 1)",2,8.0
matelner,materner,mère,7,"(0, 1, 1)",2,8.0
matérier,matériel,matière,8,"(0, 1, 1)",2,8.0
ngassage,massage,masser,7,"(0, 1, 1)",2,8.0
meldique,merdique,merde,7,"(0, 1, 1)",2,8.0
ngenotté,menotté,menotte,6,"(0, 1, 1)",2,8.0
nanieurs,manieurs,manie,5,"(0, 1, 1)",2,8.0
sarigaud,saligaud,sale,7,"(0, 1, 1)",2,8.0
saladiel,saladier,salade,7,"(0, 1, 1)",2,8.0
sadisgne,sadisme,sade,7,"(0, 1, 1)",2,8.0
sabotiel,sabotier,sabot,6,"(0, 1, 1)",2,8.0
inaperçw,inaperçu,perçu,7,"(2, 1, 0)",3,8.0
lendorme,rendorme,dormir,6,"(2, 1, 0)",3,8.0
léactiva,réactiva,acte,8,"(1, 1, 2)",4,8.0
sulsauta,sursauta,saut,7,"(1, 1, 1)",3,8.0
surgerée,surgelée,gel,8,"(1, 1, 1)",3,8.0
roytière,routière,route,6,"(0, 1, 1)",2,8.0
rowquine,rouquine,rou,7,"(0, 1, 1)",2,8.0
loulotte,roulotte,rouler,6,"(0, 1, 1)",2,8.0
loulette,roulette,rouler,7,"(0, 1, 1)",2,8.0
rourante,roulante,rouler,7,"(0, 1, 1)",2,8.0
roygeole,rougeole,rouge,6,"(0, 1, 1)",2,8.0
lemercia,remercia,merci,8,"(1, 1, 1)",3,8.0
lemarche,remarche,marche,8,"(1, 1, 1)",3,8.0
lelooker,relooker,look,6,"(1, 1, 1)",3,8.0
savagnte,savante,savoir,7,"(0, 1, 1)",2,8.0
sawvette,sauvette,sauver,8,"(0, 1, 1)",2,8.0
saumâtle,saumâtre,saum,7,"(0, 1, 1)",2,8.0
salopald,salopard,salop,7,"(0, 1, 1)",2,8.0
nassacré,massacré,massacre,7,"(0, 1, 1)",2,8.0
nasquage,masquage,masque,8,"(0, 1, 1)",2,8.0
malxiste,marxiste,marx,8,"(0, 1, 1)",2,8.0
malxisme,marxisme,marx,8,"(0, 1, 1)",2,8.0
martiegn,martien,mars,7,"(0, 1, 1)",2,8.0
marquamt,marquant,marque,8,"(0, 1, 1)",2,8.0
malocain,marocain,maroc,8,"(0, 1, 1)",2,8.0
malgelle,margelle,marge,8,"(0, 1, 1)",2,8.0
gnaoïsme,maoïsme,mao,7,"(0, 1, 1)",2,8.0
lorgngon,lorgnon,lorgner,6,"(0, 1, 1)",2,8.0
sénateyr,sénateur,sénat,5,"(0, 1, 1)",2,8.0
séculité,sécurité,sécure,8,"(0, 1, 1)",2,8.0
secowrir,secourir,secour,6,"(0, 1, 1)",2,8.0
sécateul,sécateur,séc,6,"(0, 1, 1)",2,8.0
scénalio,scénario,scène,7,"(0, 1, 1)",2,8.0
réveirla,réveilla,éveil,8,"(1, 1, 1)",3,8.0
létracte,rétracte,tract,8,"(1, 1, 1)",3,8.0
gnanchot,manchot,manche,6,"(0, 1, 1)",2,8.0
mamelogn,mamelon,mamelle,7,"(0, 1, 1)",2,8.0
gnaladie,maladie,malade,7,"(0, 1, 1)",2,8.0
sixiègne,sixième,six,7,"(0, 1, 1)",2,8.0
siffrota,sifflota,siffler,7,"(0, 1, 1)",2,8.0
sérectif,sélectif,sélect,8,"(0, 1, 1)",2,8.0
seiziène,seizième,seiz,8,"(0, 1, 1)",2,8.0
lenommée,renommée,nom,7,"(1, 1, 1)",3,8.0
spectlal,spectral,spectre,8,"(0, 1, 1)",2,8.0
sowrdait,sourdait,sourd,7,"(0, 1, 1)",2,8.0
sowhaita,souhaita,souhait,7,"(0, 1, 1)",2,8.0
selvante,servante,servir,8,"(0, 1, 1)",2,8.0
refruait,refluait,flux,8,"(1, 1, 1)",3,8.0
redoubra,redoubla,double,7,"(1, 1, 1)",3,8.0
recucler,recycler,cycle,7,"(1, 1, 1)",3,8.0
lecoller,recoller,colle,7,"(1, 1, 1)",3,8.0
lecoiffa,recoiffa,coiffe,8,"(1, 1, 1)",3,8.0
majolité,majorité,majeur,7,"(0, 1, 1)",2,8.0
naîtrisa,maîtrisa,maître,8,"(0, 1, 1)",2,8.0
mâchoile,mâchoire,mâcher,6,"(0, 1, 1)",2,8.0
lyrisgne,lyrisme,lyre,7,"(0, 1, 1)",2,8.0
rynchage,lynchage,lyncher,7,"(0, 1, 1)",2,8.0
rucidité,lucidité,lucide,8,"(0, 1, 1)",2,8.0
louldeur,lourdeur,lourd,5,"(0, 1, 1)",2,8.0
rimaille,limaille,lime,8,"(0, 1, 1)",2,8.0
rigotage,ligotage,ligoter,8,"(0, 1, 1)",2,8.0
ricencié,licencié,licence,8,"(0, 1, 1)",2,8.0
ribertin,libertin,libre,8,"(0, 1, 1)",2,8.0
libélait,libérait,libre,8,"(0, 1, 1)",2,8.0
sobliété,sobriété,sobre,7,"(0, 1, 1)",2,8.0
simusite,sinusite,sinus,7,"(0, 1, 1)",2,8.0
sinweuse,sinueuse,sinuer,6,"(0, 1, 1)",2,8.0
shoppimg,shopping,shopp,7,"(0, 1, 1)",2,8.0
seyamtes,seyantes,sey,8,"(0, 1, 1)",2,8.0
sexuerle,sexuelle,sexe,8,"(0, 1, 1)",2,8.0
sévélité,sévérité,sévère,8,"(0, 1, 1)",2,8.0
longweur,longueur,long,4,"(0, 1, 1)",2,8.0
rogement,logement,loge,7,"(0, 1, 1)",2,8.0
rocation,location,louer,7,"(0, 1, 1)",2,8.0
squattel,squatter,squat,7,"(0, 1, 1)",2,8.0
tapaiemt,tapaient,tape,8,"(0, 1, 1)",2,8.0
tapageyr,tapageur,tapage,6,"(0, 1, 1)",2,8.0
taronnée,talonnée,talon,7,"(0, 1, 1)",2,8.0
tachangt,tachant,tache,7,"(0, 1, 1)",2,8.0
soupièle,soupière,soupe,6,"(0, 1, 1)",2,8.0
soudules,soudures,soudre,6,"(0, 1, 1)",2,8.0
somnerie,sonnerie,son,6,"(0, 1, 1)",2,8.0
songdage,sondage,sonde,5,"(0, 1, 1)",2,8.0
solitwde,solitude,solit,6,"(0, 1, 1)",2,8.0
soridité,solidité,solide,7,"(0, 1, 1)",2,8.0
solailes,solaires,sol,7,"(0, 1, 1)",2,8.0
soielies,soieries,soie,7,"(0, 1, 1)",2,8.0
sociabre,sociable,socio,7,"(0, 1, 1)",2,8.0
rocalise,localise,local,7,"(0, 1, 1)",2,8.0
ringerie,lingerie,linge,7,"(0, 1, 1)",2,8.0
linonade,limonade,limon,7,"(0, 1, 1)",2,8.0
tortyeux,tortueux,tort,6,"(0, 1, 1)",2,8.0
langweur,langueur,languir,5,"(0, 1, 1)",2,8.0
rampions,lampions,lampe,7,"(0, 1, 1)",2,8.0
laitewse,laiteuse,lait,7,"(0, 1, 1)",2,8.0
laitelie,laiterie,lait,8,"(0, 1, 1)",2,8.0
raitance,laitance,lait,8,"(0, 1, 1)",2,8.0
laingage,lainage,laine,7,"(0, 1, 1)",2,8.0
souldine,sourdine,sourd,7,"(0, 1, 1)",2,8.0
reboycla,reboucla,boucle,7,"(1, 1, 1)",3,8.0
racomtes,racontes,conte,7,"(1, 1, 1)",3,8.0
raboygri,rabougri,bougre,6,"(1, 1, 1)",3,8.0
plolonge,prolonge,long,7,"(1, 1, 1)",3,8.0
légitiné,légitimé,légitime,8,"(0, 1, 1)",2,8.0
régèreté,légèreté,léger,8,"(0, 1, 1)",2,8.0
régation,légation,léguer,8,"(0, 1, 1)",2,8.0
régalité,légalité,légal,8,"(0, 1, 1)",2,8.0
tragncha,trancha,tranche,7,"(0, 1, 1)",2,8.0
trafiqyé,trafiqué,trafic,7,"(0, 1, 1)",2,8.0
stimylus,stimulus,stimuler,7,"(0, 1, 1)",2,8.0
stériret,stérilet,stérile,8,"(0, 1, 1)",2,8.0
spoltifs,sportifs,sport,7,"(0, 1, 1)",2,8.0
spatiare,spatiale,espace,8,"(0, 1, 1)",2,8.0
sowvenir,souvenir,souven,6,"(0, 1, 1)",2,8.0
jomction,jonction,joindre,6,"(0, 1, 1)",2,8.0
joriment,joliment,joli,7,"(0, 1, 1)",2,8.0
jointwre,jointure,joindre,5,"(0, 1, 1)",2,8.0
jaqwette,jaquette,jaque,8,"(0, 1, 1)",2,8.0
ilritant,irritant,irriter,8,"(0, 1, 1)",2,8.0
iromique,ironique,ironie,5,"(0, 1, 1)",2,8.0
jwstesse,justesse,juste,8,"(0, 1, 1)",2,8.0
jugenent,jugement,juge,8,"(0, 1, 1)",2,8.0
jydaïsme,judaïsme,juif,8,"(0, 1, 1)",2,8.0
tlottait,trottait,trot,7,"(0, 1, 1)",2,8.0
trôngais,trônais,trône,7,"(0, 1, 1)",2,8.0
imfernal,infernal,enfer,8,"(0, 1, 1)",2,8.0
ingeptie,ineptie,inepte,7,"(0, 1, 1)",2,8.0
imcision,incision,inciser,8,"(0, 1, 1)",2,8.0
toyrnoie,tournoie,tour,6,"(0, 1, 1)",2,8.0
imfusion,infusion,infuser,8,"(0, 1, 1)",2,8.0
ignviolé,inviolé,viol,6,"(1, 1, 1)",3,8.0
inysable,inusable,user,8,"(1, 1, 1)",3,8.0
synbiote,symbiote,symbi,7,"(0, 1, 1)",2,8.0
succiogn,succion,sucer,7,"(0, 1, 1)",2,8.0
styriste,styliste,style,8,"(0, 1, 1)",2,8.0
imvasion,invasion,envahir,8,"(0, 1, 1)",2,8.0
intrigwa,intrigua,intrigue,7,"(0, 1, 1)",2,8.0
intéglal,intégral,intègre,7,"(0, 1, 1)",2,8.0
tlingler,tringler,tringle,6,"(0, 1, 1)",2,8.0
teintule,teinture,teindre,6,"(0, 1, 1)",2,8.0
tatoueul,tatoueur,tatou,6,"(0, 1, 1)",2,8.0
tatoyage,tatouage,tatou,7,"(0, 1, 1)",2,8.0
tatirlon,tatillon,tat,8,"(0, 1, 1)",2,8.0
tapamtes,tapantes,tape,8,"(0, 1, 1)",2,8.0
tamtinet,tantinet,tante,7,"(0, 1, 1)",2,8.0
tagnneur,tanneur,tanner,4,"(0, 1, 1)",2,8.0
tairleur,tailleur,taille,6,"(0, 1, 1)",2,8.0
tabrette,tablette,table,8,"(0, 1, 1)",2,8.0
inagiers,imagiers,image,7,"(0, 1, 1)",2,8.0
imagelie,imagerie,image,8,"(0, 1, 1)",2,8.0
visitamt,visitant,visite,8,"(0, 1, 1)",2,8.0
vieirlot,vieillot,vieux,8,"(0, 1, 1)",2,8.0
veltébré,vertébré,vertèbre,7,"(0, 1, 1)",2,8.0
tsaliste,tsariste,tsar,8,"(0, 1, 1)",2,8.0
tloussée,troussée,trousse,7,"(0, 1, 1)",2,8.0
hélédité,hérédité,hériter,8,"(0, 1, 1)",2,8.0
tengdons,tendons,tendre,5,"(0, 1, 1)",2,8.0
tendeuls,tendeurs,tendre,5,"(0, 1, 1)",2,8.0
tengdant,tendant,tendre,6,"(0, 1, 1)",2,8.0
tengante,tenante,tenir,6,"(0, 1, 1)",2,8.0
templiel,templier,temple,7,"(0, 1, 1)",2,8.0
