Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
bocar,bocal,bocal,5,"(0, 1, 0)",1,5
brues,blues,blues,6,"(0, 1, 0)",1,5
blomd,blond,blond,5,"(0, 1, 0)",1,5
brocs,blocs,blocs,5,"(0, 1, 0)",1,5
brême,blême,blême,6,"(0, 1, 0)",1,5
blamc,blanc,blanc,6,"(0, 1, 0)",1,5
pirlé,pillé,piller,7,"(0, 1, 0)",1,5
ravim,ravin,ravin,7,"(0, 1, 0)",1,5
lejet,rejet,rejet,6,"(0, 1, 0)",1,5
leine,reine,reine,7,"(0, 1, 0)",1,5
légal,régal,régal,7,"(0, 1, 0)",1,5
lefus,refus,refus,6,"(0, 1, 0)",1,5
recyl,recul,recul,6,"(0, 1, 0)",1,5
malge,marge,marge,7,"(0, 1, 0)",1,5
ngarc,marc,marc,7,"(0, 1, 0)",1,5
ladis,radis,radis,7,"(0, 1, 0)",1,5
nayas,mayas,mayas,7,"(0, 1, 0)",1,5
nauve,mauve,mauve,7,"(0, 1, 0)",1,5
matow,matou,matou,5,"(0, 1, 0)",1,5
matim,matin,matin,7,"(0, 1, 0)",1,5
gnath,math,mathématique,7,"(0, 1, 0)",1,5
lécit,récit,récit,7,"(0, 1, 0)",1,5
lêche,rêche,rêche,7,"(0, 1, 0)",1,5
lecel,recel,recel,7,"(0, 1, 0)",1,5
lébus,rébus,rébus,6,"(0, 1, 0)",1,5
layon,rayon,rayon,6,"(0, 1, 0)",1,5
pigel,piger,piger,6,"(0, 1, 0)",1,5
pétli,pétri,pétrir,7,"(0, 1, 0)",1,5
pelçu,perçu,perçu,6,"(0, 1, 0)",1,5
pelça,perça,percer,7,"(0, 1, 0)",1,5
pemsa,pensa,penser,6,"(0, 1, 0)",1,5
bisom,bison,bison,5,"(0, 1, 0)",1,5
birle,bille,bille,6,"(0, 1, 0)",1,5
biran,bilan,bilan,6,"(0, 1, 0)",1,5
bijow,bijou,bijou,3,"(0, 1, 0)",1,5
bièle,bière,bière,6,"(0, 1, 0)",1,5
biems,biens,bien,6,"(0, 1, 0)",1,5
bidom,bidon,bidon,5,"(0, 1, 0)",1,5
bibre,bible,bible,6,"(0, 1, 0)",1,5
bétom,béton,béton,5,"(0, 1, 0)",1,5
nesse,messe,messe,7,"(0, 1, 0)",1,5
ngess,mess,mess,7,"(0, 1, 0)",1,5
melle,merle,merle,7,"(0, 1, 0)",1,5
melci,merci,merci,7,"(0, 1, 0)",1,5
menye,menue,menu,5,"(0, 1, 0)",1,5
megns,mens,mentir,6,"(0, 1, 0)",1,5
