Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
perchoir,perche,"(0, 1, 1)",0.43,2,8,3.59,2.7
perfidie,perfide,"(0, 1, 1)",1.17,2,8,3.14,2.48
persillé,persil,"(0, 1, 1)",0.0,2,8,3.16,1.98
rongeurs,ronger,"(0, 1, 1)",1.60999999999999,2,8,3.01,3.28
ténacité,tén,"(0, 1, 2)",0.89,3,8,0.0,3.24
tonalité,ton,"(0, 1, 2)",1.26,3,8,5.82,3.38
remballe,balle,"(2, 1, 1)",1.68,4,8,4.6,2.78
remplaça,place,"(2, 1, 1)",55.58,4,8,5.66,2.91
rempoter,pot,"(2, 1, 1)",0.01,4,8,4.29,1.6
baluchon,balle,"(0, 1, 2)",0.87,3,8,4.6,2.37
canasson,canard,"(0, 1, 2)",0.58,3,8,4.17,2.02
puanteur,pu,"(0, 1, 2)",3.44,3,8,5.43,2.74
pilonnée,pilon,"(0, 1, 1)",0.02,2,8,3.18,1.6
vertébré,vertèbre,"(0, 1, 1)",0.16,2,8,2.89,2.06
vieillot,vieux,"(0, 1, 1)",0.25,2,8,5.11,2.77
rigidité,rigide,"(0, 1, 1)",0.88,2,8,3.66,3.36
rigolade,rigoler,"(0, 1, 1)",2.41,2,8,3.76,3.22
rituelle,rite,"(0, 1, 1)",12.11,2,8,3.61,2.94
rocaille,roc,"(0, 1, 1)",0.16,2,8,3.72,2.54
rocheuse,roche,"(0, 1, 1)",1.06,2,8,4.19,2.99
rondelle,rond,"(0, 1, 1)",1.15,2,8,4.27,3.16
perverti,pervers,"(0, 1, 1)",0.89,2,8,3.94,2.62
penchant,pencher,"(0, 1, 1)",3.53,2,8,3.75,3.47
oblongue,long,"(1, 1, 0)",0.03,2,8,5.31,2.37
pancarte,carte,"(1, 1, 0)",3.88999999999999,2,8,5.06,3.43
poursuis,être,"(1, 1, 0)",4.58,2,8,6.38,2.96
pourtour,tour,"(1, 1, 0)",0.09,2,8,5.37,3.18
prologue,logue/ie,"(1, 1, 0)",1.38,2,8,2.37,3.38
rechange,changer,"(1, 1, 0)",4.71,2,8,5.11,3.48
recoudre,coudre,"(1, 1, 0)",3.69,2,8,3.38,2.52
réécrira,écrire,"(1, 1, 0)",1.98,2,8,4.87,1.32
patinage,patin,"(0, 1, 1)",1.25,2,8,3.22,3.49
patinait,patin,"(0, 1, 1)",2.05,2,8,3.22,1.69
patronna,patron,"(0, 1, 1)",0.04,2,8,4.69,1.07
pavement,paver,"(0, 1, 1)",0.0,2,8,2.33,2.56
pédalait,pédale,"(0, 1, 1)",0.64,2,8,3.56,1.42
rotative,rot,"(0, 1, 1)",0.03,2,8,2.93,2.7
rougeole,rouge,"(0, 1, 1)",1.27,2,8,5.13,3.18
roulante,rouler,"(0, 1, 1)",1.86,2,8,4.16,3.04
roulette,rouler,"(0, 1, 1)",5.55,2,8,4.16,3.33
roulotte,rouler,"(0, 1, 1)",1.59,2,8,4.16,2.94
rouquine,rou,"(0, 1, 1)",1.15,2,8,2.67,2.62
rugosité,rugueux,"(0, 1, 1)",0.0,2,8,3.0,2.51
sabotage,sabot,"(0, 1, 1)",4.32,2,8,3.1,3.38
sabotier,sabot,"(0, 1, 1)",0.0,2,8,3.1,2.04
restante,rester,"(0, 1, 1)",2.12,2,8,5.1,3.06
révérend,révérer,"(0, 1, 1)",11.83,2,8,1.65,3.4
ouvreuse,ouvrir,"(0, 1, 1)",0.2,2,8,4.85,2.12
palpable,palper,"(0, 1, 1)",0.52,2,8,2.68,3.23
papelard,papel,"(0, 1, 1)",0.18,2,8,2.39,1.94
parolier,parole,"(0, 1, 1)",0.06,2,8,4.92,2.57
partance,partir,"(0, 1, 1)",0.77,2,8,5.48,2.94
sagacité,sagace,"(0, 1, 1)",0.09,2,8,2.06,2.59
sainteté,saint,"(0, 1, 1)",4.64,2,8,5.53,3.48
saladier,salade,"(0, 1, 1)",0.68,2,8,4.05,2.95
saligaud,sale,"(0, 1, 1)",3.2,2,8,4.62,1.85
salopard,salop,"(0, 1, 1)",21.79,2,8,2.41,2.97
saumâtre,saum,"(0, 1, 1)",0.2,2,8,0.0,2.42
sauvette,sauver,"(0, 1, 1)",0.25,2,8,4.66,2.65
surélevé,lever,"(2, 1, 0)",0.12,3,8,4.54,2.82
remirent,mirer,"(1, 1, 0)",0.04,2,8,1.77,2.14
passoire,passe,"(0, 1, 1)",1.27,2,8,5.5,2.99
paternel,père,"(0, 1, 1)",4.01,2,8,5.44,3.44
rallonge,long,"(2, 1, 1)",1.18,4,8,5.31,3.25
ramollis,mou,"(2, 1, 1)",1.16,4,8,3.85,2.18
rapiécée,pièce,"(2, 1, 1)",0.02,4,8,4.99,1.43
scanners,scan,"(0, 1, 1)",1.66,2,8,3.43,2.82
sécateur,séc,"(0, 1, 1)",0.15,2,8,1.74,2.3
secourir,secour,"(0, 1, 1)",4.07,2,8,1.94,3.43
passable,passe,"(0, 1, 1)",0.34,2,8,5.5,2.78
ordurier,ordure,"(0, 1, 1)",0.16,2,8,3.45,2.16
ornement,orner,"(0, 1, 1)",0.97,2,8,2.8,3.35
ossature,os,"(0, 1, 1)",0.52,2,8,4.49,3.15
osselets,os,"(0, 1, 1)",0.39,2,8,4.49,2.22
ossuaire,os,"(0, 1, 1)",0.42,2,8,4.49,2.4
oublieux,oubli,"(0, 1, 1)",0.45,2,8,3.97,2.1
outrages,outrer,"(0, 1, 1)",0.52,2,8,1.9,2.85
outrance,outre,"(0, 1, 1)",0.17,2,8,4.97,3.38
ouvrable,ouvrer,"(0, 1, 1)",0.03,2,8,2.13,2.48
reparaît,parer,"(1, 1, 0)",0.58,2,8,3.3,2.34
requérir,quérir,"(1, 1, 0)",4.99,2,8,2.37,2.82
ressorts,sorts,"(1, 1, 0)",1.27,2,8,3.31,3.43
retordre,tordre,"(1, 1, 0)",1.77,2,8,3.3,2.84
rouvrait,ouvrait,"(1, 1, 0)",0.01,2,8,3.43,1.53
rouvrira,ouvrira,"(1, 1, 0)",0.28,2,8,3.57,2.26
rouvrons,ouvrons,"(1, 1, 0)",0.03,2,8,3.01,1.32
soucoupe,couper,"(1, 1, 0)",4.15,2,8,4.53,2.92
servante,servir,"(0, 1, 1)",10.72,2,8,4.79,3.48
serviles,servir,"(0, 1, 1)",1.14,2,8,4.79,2.35
sévérité,sévère,"(0, 1, 1)",0.95,2,8,4.16,3.29
sexistes,sexe,"(0, 1, 1)",1.16,2,8,4.75,3.28
seyantes,sey,"(0, 1, 1)",0.02,2,8,1.96,1.07
sinueuse,sinuer,"(0, 1, 1)",0.649999999999999,2,8,0.0,2.76
ramassis,masser,"(2, 1, 1)",1.5,4,8,3.22,2.94
raffermi,ferme,"(2, 1, 1)",0.22,4,8,4.87,1.85
ondulait,onde,"(0, 1, 1)",1.81,2,8,4.04,1.45
opacifié,opaque,"(0, 1, 1)",0.0,2,8,3.45,1.06
opérette,opérer,"(0, 1, 1)",0.58,2,8,3.99,2.83
sinusite,sinus,"(0, 1, 1)",0.32,2,8,3.14,2.41
snobisme,snob,"(0, 1, 1)",0.79,2,8,3.04,2.73
rendorme,dormir,"(2, 1, 0)",4.38,3,8,4.65,1.36
inaperçu,perçu,"(2, 1, 0)",3.15,3,8,3.93,3.44
ralliait,lier,"(2, 1, 0)",1.3,3,8,3.74,1.94
rapporta,porter,"(2, 1, 0)",33.0899999999999,3,8,4.98,2.74
renversa,verser,"(2, 1, 0)",25.45,3,8,4.07,2.45
sobriété,sobre,"(0, 1, 1)",0.7,2,8,3.85,3.42
soieries,soie,"(0, 1, 1)",0.05,2,8,3.99,2.35
opulence,opulent,"(0, 1, 1)",0.54,2,8,2.23,2.85
orageuse,orage,"(0, 1, 1)",0.44,2,8,3.94,2.77
oratoire,or,"(0, 1, 1)",0.59,2,8,5.35,3.42
repaître,paître,"(1, 1, 0)",0.2,2,8,2.83,2.13
noirceur,noir,"(0, 1, 1)",0.63,2,8,5.13,3.24
noisette,noix,"(0, 1, 1)",3.12,2,8,4.0,3.3
noueuses,nou,"(0, 1, 1)",0.22,2,8,3.38,1.45
nuisible,nuire,"(0, 1, 1)",0.7,2,8,3.94,3.46
songeuse,songe,"(0, 1, 1)",0.26,2,8,3.76,2.01
sonnette,son,"(0, 1, 1)",9.55,2,8,6.47,3.41
soudures,soudre,"(0, 1, 1)",0.26,2,8,1.42,2.66
soufflet,souffle,"(0, 1, 1)",0.47,2,8,4.4,2.93
soupière,soupe,"(0, 1, 1)",0.07,2,8,4.18,2.26
sourdine,sourd,"(0, 1, 1)",0.73,2,8,3.75,2.82
soupente,pente,"(1, 1, 0)",0.19,2,8,4.04,1.65
obsédant,obséder,"(0, 1, 1)",0.2,2,8,2.14,2.18
oculaire,ocul,"(0, 1, 1)",2.02,2,8,0.0,3.3
oedipien,oedipe,"(0, 1, 1)",0.06,2,8,2.67,1.36
olympien,olympe,"(0, 1, 1)",0.07,2,8,3.36,2.84
ombrelle,ombre,"(0, 1, 1)",0.97,2,8,4.52,2.69
surhomme,homme,"(1, 1, 0)",0.86,2,8,5.71,2.61
surplomb,plomb,"(1, 1, 0)",0.09,2,8,4.12,2.61
tréfonds,fond,"(1, 1, 0)",0.62,2,8,5.2,2.81
vermoulu,moulu,"(1, 1, 0)",0.01,2,8,2.69,1.71
acclamer,clamer,"(1, 1, 0)",0.2,2,8,2.94,2.63
accouche,coucher,"(1, 1, 0)",11.1,2,8,4.56,3.1
tapantes,tape,"(0, 1, 1)",0.49,2,8,4.25,1.97
standing,stand,"(0, 1, 1)",1.0,2,8,4.02,3.35
stérilet,stérile,"(0, 1, 1)",0.11,2,8,3.58,2.67
stimulus,stimuler,"(0, 1, 1)",0.39,2,8,3.66,2.96
strident,strid,"(0, 1, 1)",0.75,2,8,0.0,2.48
styliste,style,"(0, 1, 1)",1.17,2,8,4.98,3.32
neigeait,neige,"(0, 1, 1)",0.89,2,8,4.56,2.31
neigeuse,neige,"(0, 1, 1)",0.3,2,8,4.56,2.22
nervures,nerf,"(0, 1, 1)",0.01,2,8,3.69,3.04
noirâtre,noir,"(0, 1, 1)",0.02,2,8,5.13,2.75
nautique,naute,"(0, 1, 1)",1.88,2,8,1.06,3.42
tatillon,tat,"(0, 1, 1)",0.24,2,8,2.86,2.29
