Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
étwdia,étudia,étude,7,"(0, 1, 1)",2,6.0
étoiré,étoilé,étoile,7,"(0, 1, 1)",2,6.0
essawa,essaya,essay,7,"(0, 1, 1)",2,6.0
espéla,espéra,espoir,7,"(0, 1, 1)",2,6.0
éqwité,équité,équ,7,"(0, 1, 1)",2,6.0
éqwipé,équipé,équipe,7,"(0, 1, 1)",2,6.0
épowsa,épousa,époux,6,"(0, 1, 1)",2,6.0
épawlé,épaulé,épaule,7,"(0, 1, 1)",2,6.0
emnuie,ennuie,ennui,6,"(0, 1, 1)",2,6.0
égarer,égaler,égal,6,"(0, 1, 1)",2,6.0
écrata,éclata,éclat,7,"(0, 1, 1)",2,6.0
écalta,écarta,écart,7,"(0, 1, 1)",2,6.0
duleté,dureté,durer,7,"(0, 1, 1)",2,6.0
fingal,final,fin,6,"(0, 1, 1)",2,6.0
firial,filial,fil,7,"(0, 1, 1)",2,6.0
filamt,filant,fil,7,"(0, 1, 1)",2,6.0
fielté,fierté,fier,7,"(0, 1, 1)",2,6.0
feutlé,feutré,feutre,7,"(0, 1, 1)",2,6.0
fêlyre,fêlure,fêler,6,"(0, 1, 1)",2,6.0
favoli,favori,faveur,6,"(0, 1, 1)",2,6.0
fawtif,fautif,faute,7,"(0, 1, 1)",2,6.0
faysse,fausse,faux,7,"(0, 1, 1)",2,6.0
fairli,failli,faille,7,"(0, 1, 1)",2,6.0
fadewr,fadeur,fade,5,"(0, 1, 1)",2,6.0
fabwle,fabule,fable,7,"(0, 1, 1)",2,6.0
friqwé,friqué,frique,6,"(0, 1, 1)",2,6.0
flérot,frérot,frère,6,"(0, 1, 1)",2,6.0
foulbi,fourbi,fourb,6,"(0, 1, 1)",2,6.0
foltin,fortin,fort,6,"(0, 1, 1)",2,6.0
former,formel,forme,6,"(0, 1, 1)",2,6.0
fornga,forma,forme,6,"(0, 1, 1)",2,6.0
folçat,forçat,force,6,"(0, 1, 1)",2,6.0
frotta,flotta,flot,7,"(0, 1, 1)",2,6.0
flilte,flirte,flirt,7,"(0, 1, 1)",2,6.0
fréché,fléché,flèche,7,"(0, 1, 1)",2,6.0
fraira,flaira,flair,7,"(0, 1, 1)",2,6.0
fiscar,fiscal,fisc,7,"(0, 1, 1)",2,6.0
finawd,finaud,fin,5,"(0, 1, 1)",2,6.0
gelmer,germer,germe,6,"(0, 1, 1)",2,6.0
gélant,gérant,gérer,7,"(0, 1, 1)",2,6.0
gêmeur,gêneur,gêne,4,"(0, 1, 1)",2,6.0
gêmant,gênant,gêne,6,"(0, 1, 1)",2,6.0
gerait,gelait,gel,7,"(0, 1, 1)",2,6.0
gâtewx,gâteux,gât,6,"(0, 1, 1)",2,6.0
garbée,galbée,galb,7,"(0, 1, 1)",2,6.0
gaffel,gaffer,gaffe,6,"(0, 1, 1)",2,6.0
fuyald,fuyard,fuy,7,"(0, 1, 1)",2,6.0
fuuant,fuyant,fuy,7,"(0, 1, 1)",2,6.0
fuseré,fuselé,fuseau,7,"(0, 1, 1)",2,6.0
fuleur,fureur,fur,5,"(0, 1, 1)",2,6.0
fymeux,fumeux,fumer,6,"(0, 1, 1)",2,6.0
funget,fumet,fumer,7,"(0, 1, 1)",2,6.0
charny,charnu,chair,6,"(0, 1, 1)",2,6.0
chalgé,chargé,charge,7,"(0, 1, 1)",2,6.0
celclé,cerclé,cercle,7,"(0, 1, 1)",2,6.0
casqwé,casqué,casque,6,"(0, 1, 1)",2,6.0
casiel,casier,cas,6,"(0, 1, 1)",2,6.0
caliée,cariée,carie,7,"(0, 1, 1)",2,6.0
cangés,camés,came,7,"(0, 1, 1)",2,6.0
calgna,calma,calme,7,"(0, 1, 1)",2,6.0
cadler,cadrer,cadre,6,"(0, 1, 1)",2,6.0
cabler,cabrer,cabri,6,"(0, 1, 1)",2,6.0
buveul,buveur,boire,4,"(0, 1, 1)",2,6.0
byvard,buvard,boire,6,"(0, 1, 1)",2,6.0
bwttés,buttés,butte,6,"(0, 1, 1)",2,6.0
heulta,heurta,heurt,7,"(0, 1, 1)",2,6.0
halper,harper,harpe,6,"(0, 1, 1)",2,6.0
harage,halage,haler,7,"(0, 1, 1)",2,6.0
gwidon,guidon,guide,6,"(0, 1, 1)",2,6.0
gweula,gueula,gueule,7,"(0, 1, 1)",2,6.0
glossi,grossi,gros,7,"(0, 1, 1)",2,6.0
grobal,global,globe,7,"(0, 1, 1)",2,6.0
graçon,glaçon,glace,6,"(0, 1, 1)",2,6.0
bûchel,bûcher,bûche,5,"(0, 1, 1)",2,6.0
brwtal,brutal,brut,6,"(0, 1, 1)",2,6.0
blossa,brossa,brosse,6,"(0, 1, 1)",2,6.0
blidés,bridés,bride,6,"(0, 1, 1)",2,6.0
boxewr,boxeur,box,3,"(0, 1, 1)",2,6.0
boucra,boucla,boucle,5,"(0, 1, 1)",2,6.0
bognbé,bombé,bombe,5,"(0, 1, 1)",2,6.0
bruffe,bluffe,bluff,6,"(0, 1, 1)",2,6.0
broqua,bloqua,bloc,5,"(0, 1, 1)",2,6.0
brâmer,blâmer,blâme,5,"(0, 1, 1)",2,6.0
bigner,biner,bine,4,"(0, 1, 1)",2,6.0
laveyr,laveur,laver,5,"(0, 1, 1)",2,6.0
ravage,lavage,laver,7,"(0, 1, 1)",2,6.0
ractée,lactée,lact,7,"(0, 1, 1)",2,6.0
joviar,jovial,joie,6,"(0, 1, 1)",2,6.0
joweur,joueur,jouer,4,"(0, 1, 1)",2,6.0
jewnot,jeunot,jeune,6,"(0, 1, 1)",2,6.0
jeûnga,jeûna,jeûne,7,"(0, 1, 1)",2,6.0
jambom,jambon,jambe,6,"(0, 1, 1)",2,6.0
manuer,manuel,main,6,"(0, 1, 1)",2,6.0
mailie,mairie,maire,7,"(0, 1, 1)",2,6.0
lwxure,luxure,luxe,6,"(0, 1, 1)",2,6.0
loyeur,loueur,louer,4,"(0, 1, 1)",2,6.0
lognge,longe,long,5,"(0, 1, 1)",2,6.0
livlet,livret,livrer,7,"(0, 1, 1)",2,6.0
ligmée,lignée,ligne,7,"(0, 1, 1)",2,6.0
riasse,liasse,lier,7,"(0, 1, 1)",2,6.0
revier,levier,lever,6,"(0, 1, 1)",2,6.0
lettlé,lettré,lettre,7,"(0, 1, 1)",2,6.0
lavoil,lavoir,laver,5,"(0, 1, 1)",2,6.0
miloir,miroir,mir,5,"(0, 1, 1)",2,6.0
miniel,minier,mine,5,"(0, 1, 1)",2,6.0
mignci,minci,mince,6,"(0, 1, 1)",2,6.0
ngerdé,merdé,merde,7,"(0, 1, 1)",2,6.0
nénage,ménage,ménage,6,"(0, 1, 1)",2,6.0
médwsé,médusé,méduse,7,"(0, 1, 1)",2,6.0
mâtwre,mâture,mât,6,"(0, 1, 1)",2,6.0
massye,massue,masser,6,"(0, 1, 1)",2,6.0
nassif,massif,masser,7,"(0, 1, 1)",2,6.0
marqya,marqua,marque,6,"(0, 1, 1)",2,6.0
maline,marine,mer,7,"(0, 1, 1)",2,6.0
malina,marina,mer,7,"(0, 1, 1)",2,6.0
ngaria,maria,mari,7,"(0, 1, 1)",2,6.0
gnarée,marée,mare,7,"(0, 1, 1)",2,6.0
bewrré,beurré,beurre,6,"(0, 1, 1)",2,6.0
bêchel,bêcher,bêche,5,"(0, 1, 1)",2,6.0
beayté,beauté,beau,6,"(0, 1, 1)",2,6.0
bavyre,bavure,bave,5,"(0, 1, 1)",2,6.0
bavewx,baveux,bave,5,"(0, 1, 1)",2,6.0
baveul,baveur,bave,4,"(0, 1, 1)",2,6.0
bamdés,bandés,bande,5,"(0, 1, 1)",2,6.0
barisé,balisé,balise,6,"(0, 1, 1)",2,6.0
baraie,balaie,balai,6,"(0, 1, 1)",2,6.0
bagwée,baguée,bague,6,"(0, 1, 1)",2,6.0
baffel,baffer,baffe,5,"(0, 1, 1)",2,6.0
astlal,astral,astre,7,"(0, 1, 1)",2,6.0
alrêta,arrêta,arrêt,7,"(0, 1, 1)",2,6.0
nappel,napper,nappe,6,"(0, 1, 1)",2,6.0
nageyr,nageur,nage,5,"(0, 1, 1)",2,6.0
muscré,musclé,muscle,7,"(0, 1, 1)",2,6.0
mwscat,muscat,musc,7,"(0, 1, 1)",2,6.0
ngural,mural,mur,7,"(0, 1, 1)",2,6.0
motald,motard,moto,6,"(0, 1, 1)",2,6.0
morlit,mollit,mou,6,"(0, 1, 1)",2,6.0
morlet,mollet,mou,6,"(0, 1, 1)",2,6.0
ardeyr,ardeur,ard,5,"(0, 1, 1)",2,6.0
âpleté,âpreté,âpre,7,"(0, 1, 1)",2,6.0
appwie,appuie,appuyer,7,"(0, 1, 1)",2,6.0
appera,appela,appel,7,"(0, 1, 1)",2,6.0
altélé,altéré,altérer,7,"(0, 1, 1)",2,6.0
alelté,alerté,alerte,7,"(0, 1, 1)",2,6.0
ajowta,ajouta,ajout,5,"(0, 1, 1)",2,6.0
ailiel,ailier,aile,6,"(0, 1, 1)",2,6.0
aglafé,agrafé,agrafe,7,"(0, 1, 1)",2,6.0
aélien,aérien,aéro,7,"(0, 1, 1)",2,6.0
pallez,parlez,parler,7,"(0, 1, 1)",2,6.0
pâleyr,pâleur,pâle,5,"(0, 1, 1)",2,6.0
oubria,oublia,oubli,6,"(0, 1, 1)",2,6.0
odolat,odorat,odeur,6,"(0, 1, 1)",2,6.0
nwirai,nuirai,nuire,7,"(0, 1, 1)",2,6.0
nydité,nudité,nu,7,"(0, 1, 1)",2,6.0
nouade,noyade,noyer,6,"(0, 1, 1)",2,6.0
nowvel,nouvel,nouveau,6,"(0, 1, 1)",2,6.0
noilci,noirci,noir,6,"(0, 1, 1)",2,6.0
piqûle,piqûre,piquer,7,"(0, 1, 1)",2,6.0
