Word,Lemma,prs,freq,n_morphemes,Length,Lemma_Zipf_Frequency,Zipf_Frequency
animateur,animer,"(0, 1, 1)",1.9,2,9,3.62,4.06
incapable,capable,"(1, 1, 0)",24.11,2,9,4.83,4.29
hypothèse,thèse,"(1, 1, 0)",8.96999999999999,2,9,4.41,4.39
découvert,couvert,"(1, 1, 0)",50.67,2,9,4.4,4.72
trimestre,mestre,"(1, 1, 0)",2.44,2,9,2.99,4.15
entourage,tour,"(1, 1, 1)",3.0,3,9,5.37,4.24
éclairage,clair,"(1, 1, 1)",4.33,3,9,4.89,4.05
détention,tenir,"(1, 1, 1)",6.85,3,9,4.89,4.11
démission,mettre,"(1, 1, 1)",7.34,3,9,5.55,4.21
chauffage,chaud,"(0, 1, 1)",4.96,2,9,4.79,4.08
certitude,certes,"(0, 1, 1)",10.18,2,9,4.7,4.01
carrément,carré,"(0, 1, 1)",9.99,2,9,4.36,4.36
cardiaque,cardio,"(0, 1, 1)",20.71,2,9,3.51,4.18
carburant,carbure,"(0, 1, 1)",6.89,2,9,3.0,4.07
brésilien,brésil,"(0, 1, 1)",4.75,2,9,4.58,4.09
bourgeois,bourg,"(0, 1, 1)",12.39,2,9,4.0,4.16
collectif,collecter,"(0, 1, 1)",8.04,2,9,3.56,4.53
clientèle,client,"(0, 1, 1)",3.87,2,9,4.7,4.2
cinquième,cinq,"(0, 1, 1)",11.3099999999999,2,9,5.28,4.45
promenade,promener,"(0, 1, 1)",15.3299999999999,2,9,3.92,4.06
prochaine,proche,"(0, 1, 1)",190.709999999999,2,9,5.01,4.99
transport,porter,"(1, 1, 0)",31.43,2,9,4.98,4.86
reconnais,connaître,"(1, 1, 0)",138.57,2,9,4.92,4.03
démarches,marche,"(1, 1, 0)",5.75,2,9,5.16,4.06
troisième,trois,"(0, 1, 1)",45.02,2,9,5.72,5.1
titulaire,titre,"(0, 1, 1)",2.44,2,9,5.33,4.34
tellement,tel,"(0, 1, 1)",183.7,2,9,5.16,5.23
provenant,venir,"(1, 1, 1)",3.74,3,9,5.18,4.34
extension,tendre,"(1, 1, 1)",2.43,3,9,4.17,4.39
cigarette,cigare,"(0, 1, 1)",65.57,2,9,3.27,4.1
chronique,chrono,"(0, 1, 1)",4.81,2,9,3.62,4.38
chercheur,chercher,"(0, 1, 1)",6.1,2,9,5.06,4.08
chauffeur,chaud,"(0, 1, 1)",40.54,2,9,4.79,4.25
amoureuse,amour,"(0, 1, 1)",125.22,2,9,5.3,4.35
américain,amérique,"(0, 1, 1)",109.56,2,9,4.83,5.06
agression,agresser,"(0, 1, 1)",12.92,2,9,3.58,4.24
actualité,actuel,"(0, 1, 1)",1.79,2,9,4.78,4.51
récemment,récent,"(0, 1, 1)",21.07,2,9,4.21,4.7
quatrième,quatre,"(0, 1, 1)",15.74,2,9,5.42,4.68
quasiment,quasi,"(0, 1, 1)",7.66,2,9,4.55,4.35
quotidien,quotid,"(0, 1, 1)",13.3099999999999,2,9,0.0,4.74
quinzaine,quinze,"(0, 1, 1)",2.01,2,9,4.43,4.03
puissante,pouvoir,"(0, 1, 1)",44.01,2,9,5.5,4.21
puissance,pouvoir,"(0, 1, 1)",33.7,2,9,5.5,4.85
publicité,publier,"(0, 1, 1)",12.12,2,9,4.38,4.43
